Exporters	Imported value in 2009	Imported value in 2010	Imported value in 2011	Imported value in 2012	Imported value in 2013	Imported value in 2014	Imported value in 2015	Imported value in 2016	Imported value in 2017	Imported value in 2018	Imported value in 2019	Imported value in 2020	Importer
Finland	110517	159542	213047	211958	173636	159695	140677	140797	250816	161803	122969	140884	Argentina
Austria	139023	173190	191194	298069	229436	200330	167291	168030	200583	199177	201025	139736	Argentina
Israel	85888	127396	178239	131783	148548	115292	120796	117787	144193	177186	134934	130760	Argentina
South Africa	100743	141195	204929	238116	242534	222783	179084	183007	194277	218331	137604	123637	Argentina
Singapore	109272	165953	168833	147411	123287	191434	114215	157460	116555	103610	156379	120369	Argentina
Peru	68202	120920	163212	161024	133232	128735	127747	124886	158943	188978	128127	117519	Argentina
Czech Republic	70714	138960	162633	154764	164499	163799	157599	159519	178526	189536	130700	110139	Argentina
Qatar	189	75284	290873	448592	1060505	828767	172567	276158	449205	458307	35829	106898	Argentina
United Arab Emirates	2819	14829	48117	32942	49494	29829	40070	70894	48704	137890	186096	91540	Argentina
Philippines	57309	58781	78834	87878	104926	97191	92824	102430	135955	130772	102999	85948	Argentina
Portugal	66512	95271	87520	93043	228294	105417	173934	75981	119121	155849	73609	78515	Argentina
Trinidad and Tobago	233375	511353	1275218	1905166	1861350	1842142	967428	291386	164725	153840	160846	75235	Argentina
Oman	84	11213	24295	654	1445	3940	22255	45597	32137	152379	52503	68031	Argentina
Algeria	89	78	3521	5	10	55528	22	49469	17060	86999	63508	67759	Argentina
Saudi Arabia	1993	28874	33763	75269	19660	62597	176506	245946	94393	204203	116234	62179	Argentina
Romania	18934	22561	41844	57765	57540	74762	67554	80515	77188	111840	84284	56129	Argentina
Norway	26979	67428	52053	180920	90287	162713	312393	132809	41565	71552	44029	47262	Argentina
Slovakia	41465	65928	76462	58789	72373	51559	46008	75849	69526	62402	41607	41628	Argentina
Pakistan	37954	48762	64408	52213	61602	55127	55809	55202	45135	55963	35441	35300	Argentina
Argentina	34030	28810	36856	46537	34210	28258	30330	31009	29973	29476	42221	30472	Argentina
Cambodia	5997	6522	14291	12228	15358	7409	13012	14770	16303	22746	20569	21291	Argentina
Bahrain	0	17328	0	5044	6841	990	276	445	7707	1314	3085	20251	Argentina
Tunisia	8431	36233	6803	9962	18522	6844	6720	7313	7931	44416	7621	19123	Argentina
Slovenia	8361	10765	16239	17440	22589	24943	16399	20100	25462	22001	15073	18055	Argentina
Ukraine	20032	64854	34253	20461	18952	10720	28154	8762	16840	24471	18986	17513	Argentina
Bangladesh	6346	6701	11749	8761	9296	8639	10413	13199	17520	44425	28926	17318	Argentina
New Zealand	14037	13408	15789	21334	16332	21463	21384	21784	17139	15964	12845	16215	Argentina
Costa Rica	29349	34670	47948	51348	53031	43850	26925	14645	17737	14646	14007	16121	Argentina
Lithuania	1098	23121	10426	50605	17338	21611	8575	9436	19045	53543	4709	13950	Argentina
Bulgaria	6227	10631	43350	9658	18003	10467	11331	15140	39655	17861	16015	13462	Argentina
Serbia	408	643	831	1133	1018	15995	3960	4364	8270	8663	9223	10930	Argentina
Kazakhstan	22683	16457	10029	400	4533	17133	7077	2917	3100	2945	824	10333	Argentina
Greece	4172	4476	17368	14370	14587	48516	13981	7225	21218	9465	6922	9553	Argentina
Sri Lanka	6026	7867	10417	8980	6402	7139	7633	11126	12465	11928	10080	9298	Argentina
Luxembourg	7809	4656	13913	12850	9580	13431	10259	7675	12595	12140	9096	7775	Argentina
Togo	0	0	0	3	3	0	0	0	0	4	21809	7740	Argentina
Belarus	6032	28024	57871	69856	7491	11341	9060	6978	11762	33524	11048	6624	Argentina
Hong Kong, China	20268	28778	38172	31101	28525	34218	33442	14955	14528	12779	7769	6544	Argentina
Estonia	990	2681	5926	3197	4056	13606	65969	29392	9456	32270	9020	6405	Argentina
Venezuela, Bolivarian Republic of	15498	21492	23693	24930	51601	9674	6555	67949	15613	8479	917	6290	Argentina
Jamaica	14	9	18	10	8	3	5	22	115	1000	9766	5684	Argentina
Georgia	37	20	270	198	376	386	251	373	119	259	636	5238	Argentina
Mozambique	548	1764	2508	3583	2855	6093	4973	11058	2884	0	361	4974	Argentina
Cuba	3707	11967	8835	10886	11303	17213	22140	14164	5998	5581	3822	4610	Argentina
Latvia	52363	77546	81504	30045	13770	23342	4062	3934	6327	6333	4404	4369	Argentina
Myanmar	7666	7602	10657	7433	8183	5931	7483	10868	6306	7539	4986	3638	Argentina
Dominican Republic	2259	2769	3246	3774	2738	3383	3166	3370	3845	4652	3183	3425	Argentina
Macedonia, North	4311	1767	4284	5144	2388	7925	3801	2247	199	2523	3759	3006	Argentina
Bosnia and Herzegovina	920	704	259	994	1582	660	483	777	704	1870	7760	2748	Argentina
Croatia	573	1112	6156	2509	3461	3158	3462	3794	3808	23529	25684	2672	Argentina
Guatemala	2755	4896	13267	3985	4002	3934	3045	3016	2345	1721	1020	1891	Argentina
El Salvador	256	300	581	315	609	475	517	576	579	2082	267	1477	Argentina
Madagascar	1008	498	481	547	744	545	663	1104	904	1303	1069	1467	Argentina
Cyprus	50	44	330	288	106	99	64	188	147	572	1222	1242	Argentina
Jordan	224	402	817	929	1776	2612	264	1309	2088	1931	2434	1120	Argentina
Iceland	395	1422	1448	520	482	3178	1178	1151	966	3319	760	1016	Argentina
Côte d'Ivoire	762	1473	1773	1997	1712	1524	1825	2302	14030	3781	1263	995	Argentina
Ghana	212	118	470	19	80	95	1	0	124	207	630	856	Argentina
Iran, Islamic Republic of	8609	23673	16933	1396	68	6097	838	3936	4535	1653	777	841	Argentina
Malta	1457	7650	7222	7391	4434	2650	2182	2598	1841	1589	1328	816	Argentina
Macao, China	395	55	220	113	145	364	332	531	238	275	326	738	Argentina
Libya, State of	0	8697	0	0	11707	0	0	0	4874	0	12183	726	Argentina
Honduras	115	115	1760	323	8675	12462	14092	12461	10927	5976	1997	680	Argentina
Somalia	12	36	78	4	432	4	9	0	10	14	6	613	Argentina
Nicaragua	22	183	268	211	400	419	236	417	334	606	545	565	Argentina
Uzbekistan	13	29	0	600	940	2047	2428	3163	183	106	301	483	Argentina
Grenada	0	0	0	0	0	0	199	311	450	359	546	475	Argentina
Zimbabwe	0	1320	3450	1157	2195	476	908	631	673	301	335	450	Argentina
Albania	13	154	327	505	155	340	202	110	269	306	723	396	Argentina
Kenya	351	241	464	84	303	51	102	157	137	211	385	384	Argentina
Lao People's Democratic Republic	177	19	24	115	41	15	46	107	332	580	713	297	Argentina
Kuwait	3	1968	7170	30746	0	8085	1836	14818	15075	10888	9	270	Argentina
Gabon	131	351	573	1623	1747	2578	1180	1010	1007	614	623	268	Argentina
Tanzania, United Republic of	15	3	9	43	203	2248	1611	1038	310	224	57	268	Argentina
Lebanon	2335	650	741	533	2688	415	173	4476	292	598	210	236	Argentina
Ethiopia	13	391	142	251	134	194	43	62	63	33	104	219	Argentina
Mauritius	148	210	202	125	187	269	287	276	581	838	348	182	Argentina
Iraq	0	9	15	5	3	21	2	0	4	571	783	181	Argentina
Sudan	0	0	0	120	239	499	377	253	423	342	98	158	Argentina
Saint Kitts and Nevis	515	266	130	32	63	14	0	0	10	9	283	155	Argentina
Haiti	52	85	73	55	108	79	84	82	152	298	248	149	Argentina
Panama	118	589	1779	228	290	683	176	1957	189	250	201	130	Argentina
Suriname	3513	0	0	5559	1	0	0	2	1	2	0	91	Argentina
Malawi	4117	1342	2776	6390	4457	3838	691	680	67	5	52	68	Argentina
Moldova, Republic of	33	4	783	39	10	11	11	41	60	222	104	62	Argentina
Curaçao	0	0	4607	154740	5029	7108	4937	3602	1458	12	9	60	Argentina
Armenia	122	1	502	474	1	1	18	24	86	3	3	59	Argentina
Brunei Darussalam	0	0	0	2	8	0	0	3	0	0	20	53	Argentina
Palestine, State of	0	77	0	0	0	0	0	0	71	67	57	42	Argentina
Nigeria	1023	2598	207437	57082	258905	597797	886910	405324	462918	285034	1921	37	Argentina
Papua New Guinea	20	1	16	45	13	4	22	2	90	41	33	36	Argentina
Comoros	13	6	16	31	27	30	18	23	74	29	23	33	Argentina
Namibia	2	1	21	13	8225	6121	7	58	0	2	2	26	Argentina
Djibouti	0	0	0	0	0	0	24	119	16	0	15	24	Argentina
Seychelles	63	15	60	69	60	25	0	43	66	57	47	20	Argentina
Syrian Arab Republic	470	921	2060	2889	86	63	15	30	4	0	2	16	Argentina
Uganda	0	0	30	0	0	7	2	7	3	2	0	15	Argentina
Lesotho	0	0	0	0	0	11	0	0	7	3	8	14	Argentina
South Sudan	0	0	0	0	0	0	0	0	0	0	0	13	Argentina
Burkina Faso	0	0	5	17	0	14	0	0	0	11	0	9	Argentina
Yemen	0	0	173	1	11	67	0	0	18	39	5	9	Argentina
Sint Maarten (Dutch part)	0	0	0	0	0	0	0	0	0	0	0	8	Argentina
Tajikistan	0	4	0	0	2	0	0	0	0	0	0	8	Argentina
Sierra Leone	654	190	9	4	652	385	0	216	69	37	57	8	Argentina
Cameroon	110	63	413	143	328	181	421	306	180	321	20497	7	Argentina
Nepal	122	162	257	417	205	291	58	243	561	11	4	6	Argentina
Turkmenistan	0	0	1	1	1	0	0	0	35	2	8	5	Argentina
Congo	174	545	115	75	34	73	67	35	6	43	31	5	Argentina
Kyrgyzstan	78	6	140	3	0	0	1	2	3	0	4	5	Argentina
Rwanda	0	0	0	0	0	0	1	3	2	2	0	5	Argentina
Benin	0	0	0	0	1	2	0	0	0	11	0	4	Argentina
Dominica	44	2	5	14	7	64	4	4	8	5	13	4	Argentina
Guinea	0	0	3	6	4	4	3	37	15201	7	2	4	Argentina
Senegal	2	6	52	162	99	102	1	90	10852	9154	8	4	Argentina
Eswatini	0	0	46	12	28	3	0	1	7	96	4	2	Argentina
Congo, Democratic Republic of the	0	0	0	106	0	47	0	0	0	1	1	1	Argentina
Azerbaijan	115	15	0	1	51	27	31	0	44	0	38	1	Argentina
Barbados	0	0	24	0	0	0	84	1	14	10	16	1	Argentina
Bhutan	10	0	0	2	0	2	0	0	0	0	1	1	Argentina
Belize	0	0	24	2	14	7	0	0	0	0	4	1	Argentina
Timor-Leste	0	0	0	0	0	0	0	0	0	0	0	1	Argentina
Chad	88	30	104	138	66	125	0	0	0	0	0	0	Argentina
Equatorial Guinea	0	0	0	312	31	0	71336	13089	147589	21816	0	0	Argentina
Gibraltar	0	2	0	0	21	0	0	0	0	0	0	0	Argentina
Liberia	0	0	0	0	0	0	0	0	0	0	0	0	Argentina
Montenegro	0	0	0	1	0	0	1	0	2	5	2	0	Argentina
Nauru	0	0	2	0	17	1	0	0	1	0	0	0	Argentina
Vanuatu	5	2	0	0	0	0	0	0	0	0	0	0	Argentina
Europe Othr. Nes	0	0	0	0	0	0	0	0	0	39	0	0	Argentina
Northern Mariana Islands	0	0	0	0	1	0	0	1	2	0	1	0	Argentina
Marshall Islands	0	0	0	0	0	0	0	0	0	0	142	0	Argentina
Guinea-Bissau	0	0	0	0	0	0	0	0	0	0	21	0	Argentina
Free Zones	257595	307460	173851	156984	188411	167045	140299	96974	156258	0	0	0	Argentina
United States Minor Outlying Islands	0	0	0	0	44	1	0	2	1	0	0	0	Argentina
Afghanistan	0	0	8	14	442	23	6	18	46	13	27	0	Argentina
Andorra	69	0	52	30	103	198	261	246	33	8	3	0	Argentina
Angola	0	4	18	6	13	9	28	10980	6763	0	2	0	Argentina
Antigua and Barbuda	0	0	0	0	0	2	0	1	0	4	1	0	Argentina
Bahamas	2990	4449	5245	5536	24188	3974	3098	3214	5041	3674	2782	0	Argentina
Botswana	0	0	0	2	1	0	0	0	0	0	0	0	Argentina
Solomon Islands	0	0	0	0	0	0	0	0	1	0	0	0	Argentina
Burundi	0	0	0	1	0	0	3	5	4	4	0	0	Argentina
Cabo Verde	0	0	2	0	0	0	0	1	0	0	7	0	Argentina
Central African Republic	0	0	0	0	2	0	0	0	1	0	0	0	Argentina
Eritrea	0	0	0	1	0	0	9	0	0	0	0	0	Argentina
Fiji	9	30	33	55	44	8	21	25	30	8	6	0	Argentina
Gambia	2	0	0	3	1	1	0	0	1	9	7	0	Argentina
Guyana	0	0	1	16	15	4	0	136	14	0	1	0	Argentina
Maldives	0	0	0	22	0	0	0	0	3	0	1	0	Argentina
Mali	1	1	0	1	0	0	0	3	3	5	4	0	Argentina
Mauritania	62	31	1	26	0	14	0	0	0	2	1	0	Argentina
Mongolia	1	0	3	11	0	0	1	3	7	1	1	0	Argentina
Netherlands Antilles	3897	1634	0	0	0	0	0	0	0	0	0	0	Argentina
Aruba	1394	0	24078	0	0	0	0	0	0	0	0	0	Argentina
Niger	0	0	196	8	5	2	0	0	7	2	10	0	Argentina
Saint Lucia	5	5	5	2	0	0	0	1	0	0	0	0	Argentina
Saint Vincent and the Grenadines	0	2	0	0	0	0	0	0	0	0	0	0	Argentina
Sao Tome and Principe	0	0	8	0	0	0	0	0	2	0	0	0	Argentina
Sudan (before 2012)	190	69	211	0	0	0	0	0	0	0	0	0	Argentina
Tonga	3	0	0	18	0	44	0	0	0	0	9	0	Argentina
Samoa	0	0	0	0	0	0	0	0	0	0	2	0	Argentina
Zambia	21	25	251	31	0	39	0	0	72	0	0	0	Argentina
World	1005555200	1396001600	1743394900	1818199200	1949992300	1959234625	1681670816	1588695867	1840957060	2134987265	2068950255	2055590612	China
Taipei, Chinese	85722961	115733646	124910647	132199339	156405132	152007130	144980999	139715214	154796770	177345362	172800947	200664323	China
Japan	130937525	176736084	194567856	177832336	162245573	162920512	143092949	145771152	165494647	180401786	171523312	174867747	China
Korea, Republic of	102551712	138339223	162716843	168728402	183072918	190108773	174563830	159168781	177523904	204566451	173553267	172756030	China
United States of America	77755101	102734185	123124010	133765823	153394862	160064514	150543984	135047253	154839684	156004357	123235656	135996513	China
China	86413993	106867897	122614384	142929913	157540888	144880437	144434506	128794412	132604645	146381812	129525387	125277787	China
Australia	39438780	61105168	82667477	84568209	98954088	97630887	73871388	70233044	94632692	105083923	119608314	114836642	China
Germany	55764084	74251272	92726220	91933081	94156750	105012760	87689442	86118708	96932837	106257241	105037212	105261229	China
Brazil	28280983	38099447	52386750	52281127	54299123	51653225	44339257	45603468	58476878	77141726	79203569	84083784	China
Viet Nam	4746740	6984262	11116531	16229125	16891893	19906398	25127731	37216721	50374166	64087360	64078465	78474632	China
Malaysia	32330691	50430150	62136640	58304935	60153184	55652243	53257648	49118293	53961162	63321954	71629893	74733134	China
Russian Federation	21282952	25913994	40362600	44138279	39667828	41593505	33216612	32131140	41351921	58887066	60257151	57180563	China
Thailand	24896942	33193365	39039796	38551206	38522681	38331928	37221138	38686369	41805850	44918670	46134732	48097894	China
Saudi Arabia	23620244	32829048	49467520	54861126	53450711	48508026	30150711	23613002	31751563	45898673	54257291	39033136	China
Indonesia	13663783	20795189	31337084	31935986	31424279	24485247	19814522	21344561	28517172	34154685	33992843	37368969	China
Singapore	17796637	24728920	28139649	28529563	30064515	30828733	27557900	25938742	34133663	33638316	35230306	31550580	China
France	13031124	17116565	22078793	24124460	23119289	27074420	24989088	22562513	27079913	32330186	32580848	29706998	China
Chile	12790520	17935193	20578293	20631633	20707685	20985876	18680364	18410497	20891275	26999814	26291330	28748511	China
Italy	11020311	14006447	17578760	16065665	17575739	19284885	16866060	16703875	20355868	21159551	21424595	22250523	China
Canada	12026170	14921961	22167123	23209148	25236971	25182010	26280562	18265806	20337636	28354115	28032463	21878620	China
India	13714289	20846313	23372279	18797191	16970270	16358691	13395985	11748712	16333354	18850037	17970065	20857605	China
South Africa	8693253	14896422	32095190	44653737	48388425	44568130	30225916	22555964	24833903	27240322	25931258	20592463	China
United Kingdom	7877357	11305193	14556661	16801247	19078788	23726733	18925748	18661724	22302351	23893337	23827508	19762530	China
Philippines	11946610	16220255	17992317	19643205	18181829	20984132	19019735	17368933	19148726	20595680	20169743	19307298	China
Iraq	3298111	6275191	10443634	12655773	17984764	20761239	12670542	10646475	13788755	22466146	23806377	19253157	China
Switzerland	6949483	17108296	27287232	22884176	56191550	40541086	41205072	40072262	33014622	38706199	27397843	17494716	China
United Arab Emirates	2595229	4451552	8306606	10851924	12823526	15763357	11531801	9977742	12224129	16281247	15086982	16868652	China
Mexico	3881899	6875188	9377587	9161025	10238486	11173418	10082750	10293721	11749246	14054302	14348767	15995326	China
Oman	5409904	9779204	14876688	16974957	21040613	23795856	15061979	11966072	13170395	18821414	19460465	15551773	China
Angola	14675831	22815049	24922180	33561897	31972669	31106015	15997249	13874376	20385916	25652016	23308305	14513452	China
Peru	4323889	6368186	7864277	8454698	8408062	8140872	8180720	9438108	13095544	15213113	15212399	14148211	China
Ireland	3231013	3412622	3699439	3797556	4192850	3733626	4285734	5291288	8117046	10861554	13449668	14044416	China
Netherlands	5122250	6479120	8660907	8703962	9824959	9340126	8807724	9752617	11228221	12313521	11195727	12787225	China
New Zealand	2477073	3763103	4980969	5810232	8253214	9505522	6583272	7142060	9337196	11079793	12491022	12063400	China
Kuwait	3500921	6708788	9175205	10467165	9586638	10004964	7483125	6362441	8930633	15359441	13416579	10706991	China
Spain	4292253	6236378	7551576	6334673	5971878	6203607	5606122	6127564	7974254	8794347	8609261	10346049	China
Kazakhstan	6255600	11108591	15349866	14675447	16050838	9741822	5840304	4793614	6342399	8529554	9258817	9739389	China
Sweden	5453817	5907905	7116606	6922716	6987099	6791543	6421431	6140482	7866680	8946992	9137228	9468031	China
Qatar	1376154	2455837	4694309	7278103	8463353	8336728	4615094	4005599	6386681	9091343	8688790	8271213	China
Belgium	5849392	7839465	10130949	9964754	9848071	10059222	7020167	6872521	7546486	6987664	6869823	7839194	China
Ukraine	2172540	2163583	3264665	3031234	3272867	3483544	3549959	2475717	2326171	2635776	4503827	7790725	China
Norway	3059495	3230463	3621479	3067639	3467985	4467693	4147507	3217490	3127513	3418446	3897904	7273850	China
Congo, Democratic Republic of the	1136448	2505716	3161988	3527095	2745655	2811558	2664738	2083052	3242693	5682945	4436613	7030639	China
Hong Kong, China	8711579	12260255	15492483	17895804	16206575	12621374	12772656	16953679	7420811	8561184	9056649	6983628	China
Argentina	4306017	6804128	6256572	6560806	6085768	5246944	5714331	5121535	4733007	3518716	7392262	6804650	China
Austria	3405645	4229255	4760980	4723752	5030350	5851704	4968938	5003111	5848275	6923229	7622812	6641367	China
Slovakia	897393	1790562	3457346	3655227	3458156	3376077	2237200	2408139	2584226	5244319	5967430	6431443	China
Iran, Islamic Republic of	13286547	18300891	30332973	24869408	25389864	27503850	16034629	14952884	18544260	21098883	13401559	6401928	China
Myanmar	646122	966087	1679873	1298226	2856867	15601279	5301349	4153067	4529452	4718842	6381768	6341811	China
Israel	1524121	2607391	3037705	2922831	3181317	3140637	2804185	3176561	4197393	4631374	5157622	6285374	China
Turkmenistan	38491	1044519	4693173	8673382	8893257	9516158	7827598	5563294	6575125	8119370	8685698	6071165	China
Denmark	2290654	2645588	2813452	2904080	3375699	4057315	4096564	4266020	4200855	4388543	4955414	6008147	China
Czech Republic	1131849	1727987	2318996	2406877	2614923	2986689	2781969	2947342	3693173	4406186	4628041	5132632	China
Mongolia	1338679	2549854	3700776	3944214	3509547	5102087	3780384	3610183	5097219	6341575	6266588	5009483	China
Poland	1504764	1696613	2047976	1997766	2231797	2934739	2744035	2532429	3349340	3646181	3943811	4319860	China
Ecuador	763157	507159	579890	938410	775263	1064512	1239115	939684	1123352	1989541	3604999	4308841	China
Colombia	974821	2103363	2394851	3156664	3620271	7598890	3538720	2510099	3902252	5902312	6276626	4297679	China
Hungary	1466426	2197692	2452217	2323098	2715148	3259900	2871271	3462511	4082280	4338742	3747424	4281682	China
Finland	3272223	4019477	4542073	3833207	3905642	4051184	3485381	3450722	4255065	4776333	4630685	4192379	China
Turkey	1745485	3164059	3123228	3511810	4486234	3705396	2959585	2775455	3772268	3762714	3501654	3716233	China
Congo	1738812	3122347	4672291	4555407	5712191	5479018	2617465	2277038	3796714	6702542	5934470	3357052	China
Zambia	1272464	2578407	2775940	2686560	3047866	3060749	1815019	2189915	3071929	4132385	3298462	3306176	China
Gabon	713886	969744	577976	618094	898644	1607935	1101221	1397924	2246013	2964328	4612508	3217543	China
Portugal	480930	754426	1162064	1514582	1399461	1663291	1468894	1578828	2128048	2250094	2317890	2772221	China
Romania	433095	755267	947048	979776	1207502	1520667	1298895	1442965	1820663	2170014	2323744	2638132	China
Guinea	6240	54997	15567	10995	84092	41345	26709	649479	1549831	2246148	2504860	2475691	China
Nigeria	896526	1071622	1583680	1273793	1546603	2656039	1237368	908837	1623769	1858994	2652140	2453394	China
Uruguay	733762	1151841	1413379	1911220	2466419	2629094	2410638	1949320	2649883	2558705	2968171	2362703	China
Papua New Guinea	357725	777486	815220	642259	797690	1403233	1885263	1617946	2064033	2819084	3064927	2282963	China
Area Nes	37007	1389056	6041988	6266514	4650448	1546529	1282840	1328603	1396751	520905	1354554	2123319	China
Pakistan	1260256	1730949	2118460	3140394	3196840	2753870	2477066	1906332	1830041	2179816	1807882	2123027	China
Lao People's Democratic Republic	367319	601490	827588	787758	1010079	1777883	1316053	1346768	1567098	2029603	2159566	2063437	China
Ghana	79622	123382	363185	643548	1203330	1452597	1295794	1301207	1850413	2426140	2543921	1740915	China
Cambodia	36892	93627	184298	215314	363635	482915	666287	830091	1005217	1377338	1443924	1497998	China
Uzbekistan	349419	1300780	807315	1091833	1938093	1597910	1266792	1606926	1474606	2324395	2180634	1483125	China
Brunei Darussalam	282146	664330	566816	373085	89804	189717	97273	225718	351840	247641	451362	1436056	China
Bulgaria	140997	322999	459982	840157	956743	984860	753035	583806	965340	1149083	1163231	1369464	China
Mauritania	853928	967033	1517037	1468674	1728522	1168130	745118	737804	783442	858210	915855	1227814	China
Equatorial Guinea	1055071	598657	1672947	1822803	2469918	3217190	1165362	632269	1466410	2131556	1723012	1154284	China
New Caledonia	131891	56727	80846	149365	129247	334191	484180	497590	777809	1107650	1040695	1126124	China
Algeria	946620	1177317	1960887	2311906	2164547	1314682	781572	333205	448196	1178824	1141660	996570	China
Egypt	752543	917930	1518340	1320737	1851607	1159517	915956	549184	1334762	1834528	996819	905847	China
Belarus	529594	476097	599466	663130	580512	738277	1010510	435117	515322	570989	914628	889891	China
Zimbabwe	140850	246058	464055	584427	687839	835714	766420	727602	872842	890333	974025	873952	China
Libya, State of	3173884	4515615	2063575	6375902	2038928	726370	949536	370966	1356945	4742280	4765665	812042	China
Bangladesh	140722	268876	449036	479727	602366	761108	803718	861864	870833	985405	1036436	799614	China
Greece	213028	390396	353607	427352	433267	345667	286141	282690	427042	564534	726214	773139	China
Armenia	23939	46703	34632	35166	73139	167173	219081	274572	294824	313972	538932	772091	China
Sudan	0	0	0	1554267	2100023	1521312	732863	495727	580255	670035	740420	766261	China
Cameroon	397668	460904	662949	890432	366169	688877	781554	402926	496108	1095691	1015043	751653	China
Azerbaijan	128317	86547	193720	214162	233583	297063	226373	412075	577445	382090	860157	682566	China
Yemen	1237511	2779081	3135702	3604053	3061301	2932854	891450	166014	661147	717550	864442	677855	China
South Sudan	0	0	0	499465	2468344	4329242	2322967	1455878	1269079	1588452	1510938	676874	China
Costa Rica	2646447	3106845	3844030	5270200	4758054	4186269	826155	696909	790806	776351	720417	668621	China
Morocco	375014	452322	475628	558416	531428	518504	528613	549114	644184	711068	635507	591090	China
Mozambique	177554	201078	257241	403320	454875	1649822	452042	480133	527838	651384	711719	577165	China
Côte d'Ivoire	62761	110529	162103	142556	257133	216268	144109	101366	157349	254377	460759	576138	China
Namibia	312381	481495	224481	241268	257700	317341	213152	164021	296853	502981	511606	557871	China
Venezuela, Bolivarian Republic of	4340905	6698878	11731210	14539106	13120097	11320054	6888273	5499079	7201764	7334029	4788365	533951	China
Slovenia	126469	176570	202040	256030	302799	331465	289555	436364	494752	590975	516462	508596	China
