Importers	Exported value in 2009	Exported value in 2010	Exported value in 2011	Exported value in 2012	Exported value in 2013	Exported value in 2014	Exported value in 2015	Exported value in 2016	Exported value in 2017	Exported value in 2018	Exported value in 2019	Exported value in 2020	
"Kazakhstan"	0	0	47	0	0	27	0	24	2	0	0	0	
"Lesotho"	9	0	0	0	0	7	0	0	0	0	0	0	
"Malawi"	5	0	0	0	0	47	0	10	0	0	615	0	
"Mongolia"	0	0	0	0	0	11	3	170	0	142	53	0	
"Namibia"	298	60	108	13	0	291	12	77	400	22	171	0	
"Nepal"	0	0	0	0	0	0	0	0	1	0	20	0	
"Curaçao"	0	0	0	141	0	0	0	0	0	1	1	0	
"Aruba"	63	0	0	0	0	0	0	0	0	0	0	0	
"New Caledonia"	21	23	0	0	0	0	0	0	0	0	2	0	
"Nicaragua"	4	51	6	12	39	58	1018	286	4	65	87	0	
"Papua New Guinea"	1693	368	263	578	278	36	59	51	4	11	340	0	
"Paraguay"	0	12	934	0	1	100	0	0	0	0	22	0	
"Timor-Leste"	149	28	401	56	257	10	0	0	0	0	0	0	
"Saint Vincent and the Grenadines"	0	0	25	1	0	0	9	7	1	0	3	0	
"Sao Tome and Principe"	5	0	2	0	0	0	0	0	3	4	0	0	
"Serbia"	22	0	517	0	0	0	40	309	0	0	0	0	
"Zimbabwe"	0	0	1	3	0	69	1	0	0	0	125	0	
"Sudan (before 2012)"	4912	5684	310	0	0	0	0	0	0	0	0	0	
"Tonga"	5	8	3	0	0	17	0	0	0	0	0	0	
"Trinidad and Tobago"	0	14	0	0	161	0	203	879	68	146	285	0	
"Turks and Caicos Islands"	0	0	0	0	0	0	0	0	1	20	7	0	
"Uruguay"	116	0	1	13	0	0	0	0	9	2	9	0	
"Yemen"	0	0	0	0	9	0	3	0	0	24	0	0	
