Importers	Exported value in 2009	Exported value in 2010	Exported value in 2011	Exported value in 2012	Exported value in 2013	Exported value in 2014	Exported value in 2015	Exported value in 2016	Exported value in 2017	Exported value in 2018	Exported value in 2019	Exported value in 2020	
"Italy"	1501360	1586091	1979701	1118984	1080894	1031223	952080	1001755	1038993	1007927	912453	615117	
"Uruguay"	1608261	1539066	1984193	1868277	1752795	1562973	1224747	1130262	1150682	918004	836174	584706	
"United Kingdom"	761806	755742	786998	818080	645918	885492	719887	697207	778844	769185	675389	464743	
"Korea, Republic of"	587775	776358	972962	1381682	1002347	485209	583301	860260	505017	175821	712528	461409	
"Russian Federation"	825020	635989	767587	745130	725834	730040	472145	490392	509045	648545	564348	458331	
"Paraguay"	845359	1155901	1367481	1368078	1298735	1215306	1053991	979683	1129788	968643	728154	423778	
"Germany"	1391486	1832056	2485980	1970216	1637228	1536739	1341905	1272249	1159538	662948	660067	360812	
"Ireland"	73650	118272	206601	216779	252821	242172	231860	231488	277179	297694	305285	351897	
"Bangladesh"	214004	214861	442617	358215	309841	358984	277304	489732	583529	519706	595520	330306	
"Morocco"	123898	235464	423892	516054	484526	536290	333011	368736	508922	339726	571055	317075	
"Turkey"	183205	199355	563696	302021	451433	375177	334211	486360	475402	422525	486983	301360	
"Poland"	428671	460649	567860	556113	620531	731424	561290	633701	571779	589687	454207	287061	
"Bolivia, Plurinational State of"	580918	608412	757409	852160	792976	792185	619670	559655	608994	451616	454989	276972	
"Colombia"	874364	1302601	1806029	2079591	1530541	860275	393355	509773	557041	401840	642365	263254	
"Israel"	267239	223064	232870	225656	199469	181271	182591	196470	200854	207611	206999	225562	
"Thailand"	421117	440937	518424	682705	924547	619670	397096	571813	525708	481369	542125	180297	
"Yemen"	140186	101813	185564	227319	204470	207436	129472	167767	159846	209470	172740	162183	
"Jordan"	51954	65434	182121	218936	245127	273693	213386	222438	247323	233444	164601	132204	
"Hong Kong, China"	282029	317874	322790	310288	325749	331949	213407	235657	266263	252057	220461	131442	
"Canada"	466850	1401223	2383291	2213449	1702908	1655816	1295825	1147784	1322670	1035705	546600	129681	
"France"	446245	527216	576096	414067	431228	320306	363147	364024	297042	184918	172904	128708	
"Japan"	493393	853778	842993	1207486	1391731	748396	572329	662586	632165	206191	225355	128344	
"Australia"	242347	286693	588849	585001	736647	708863	609968	515388	623292	402722	361283	126818	
"Taipei, Chinese"	68141	221165	173825	307351	382983	145491	81586	81295	106043	89089	146486	122298	
"Mexico"	935186	1230645	921285	889137	970251	907503	817968	779451	644217	466366	293960	114480	
"Iraq"	132054	23200	61347	104353	116105	145152	88325	98104	194489	191184	135267	108792	
"Philippines"	512104	439440	600748	302123	419195	663606	283511	357770	254670	299932	282308	104633	
"Kenya"	22558	5912	43524	106190	11385	8019	15058	23477	83794	83332	127064	99342	
"Greece"	141546	111446	127886	109287	130934	135189	127354	123781	141807	178672	146862	97815	
"South Africa"	665822	878875	1086365	1030103	684649	509624	677334	810686	511899	286464	403275	90527	
"Iran, Islamic Republic of"	855368	1453125	1079425	987374	1102961	928825	721085	426477	446983	381653	379254	88118	
"Belgium"	456787	348822	465102	448537	300361	300299	328209	378985	401378	220749	203288	81450	
"United Arab Emirates"	237340	272203	337236	280624	256390	200134	172643	240036	207430	171996	352445	76712	
"Nigeria"	94203	80671	86544	151175	107058	67375	88762	38252	86541	77630	83697	75966	
"Pakistan"	50021	45392	40697	66759	146039	281106	397884	245857	170542	93399	92902	73644	
"Syrian Arab Republic"	385936	246346	386355	212400	155174	203146	144316	65023	66372	76124	60813	57571	
"Ecuador"	454574	501375	484975	417796	346989	398789	213128	241350	378309	278972	118347	55333	
"Lebanon"	48684	60326	81591	82874	103256	127819	94386	98469	102757	96650	87672	49188	
"Mozambique"	19722	43442	102059	69435	42084	46023	67004	58536	81695	77383	97310	46774	
"Venezuela, Bolivarian Republic of"	1042566	1426228	1867143	2220366	2156781	1987166	1370078	706898	245135	294358	90111	41545	
"Tunisia"	110018	122819	283545	175880	206701	166168	70063	125302	135193	37163	105122	39170	
"Ethiopia"	680	826	988	1063	1739	1772	1119	1390	1982	1618	640	37543	
"Dominican Republic"	139637	156466	232212	243934	258413	121998	112729	143749	109558	42546	85704	33022	
"Denmark"	440166	344333	425163	409187	277185	306160	281108	235881	224859	261594	186283	32324	
"Singapore"	35676	37616	62154	48379	114429	140181	144045	51981	37889	32236	19999	32137	
"Portugal"	121280	87389	118387	71802	58294	55578	46069	116029	95992	54973	78181	30148	
"Cameroon"	24456	18488	43034	37601	47998	35580	33204	25146	40367	34923	39882	27608	
"Panama"	69977	57999	169640	170841	94969	77355	68328	89452	120341	40071	62553	27340	
"Kuwait"	16283	32313	25362	31342	53694	51840	33858	21977	43061	102069	48085	26001	
"Cuba"	52087	88603	112916	106709	307423	272954	276170	324171	195361	122976	222746	23447	
"Senegal"	79229	79951	101973	117140	53776	84389	65930	58809	80577	106766	80832	20627	
"Oman"	45077	39695	59003	39000	34301	28702	29156	42975	79044	52290	73683	20274	
"Norway"	23925	31083	41390	35969	20139	15627	16635	13748	17657	17119	16159	19354	
"Uganda"	3222	5601	8440	18931	2801	164	2371	9915	35275	13853	43140	18408	
"Ukraine"	36443	72222	85131	81498	76853	36159	29014	51864	43296	27001	25224	16673	
"Costa Rica"	159580	162007	139599	100445	106600	51259	47454	48294	112519	26747	33816	15480	
"Guatemala"	92423	79593	99656	133845	150693	55608	68138	72115	147172	30272	23761	15320	
"Ghana"	36685	27139	19074	32778	47941	20658	27899	42796	44056	45456	75557	14924	
"Bulgaria"	11088	77093	108937	100833	156874	104718	90685	38308	116546	14505	20251	12504	
"Congo, Democratic Republic of the"	20699	29561	38971	40671	22396	19701	0	0	0	6174	9898	10835	
"Congo"	74205	28715	47869	48455	41112	42042	43085	23832	30899	11361	16272	9867	
"New Zealand"	45916	49998	87793	117040	128525	139022	117207	97056	159415	90122	122159	9515	
"Sweden"	40224	49539	57008	71665	70786	61195	55924	68330	49155	13114	11238	8535	
"Hungary"	12510	8786	12940	11069	12663	9095	9624	9545	11170	7679	7163	6923	
"Croatia"	27504	27614	40906	36853	22613	120772	129609	77690	61954	10060	10377	6667	
"Lithuania"	21719	25294	76535	164293	117225	59886	41341	44750	46040	32285	21777	5908	
"Angola"	163737	145077	221636	200151	128725	126933	59151	36827	37202	30267	29294	5655	
"Romania"	37824	96942	59518	63615	122634	135594	67733	60099	76266	7388	13229	4527	
"Cambodia"	6569	11136	14628	14077	16306	14711	9920	17126	14824	11265	13945	4187	
"Finland"	18240	17103	52345	50131	85192	42497	10299	143476	94367	6333	5162	4175	
"Macedonia, North"	3815	3296	5259	4946	4453	5041	6437	5559	6237	5012	3938	3948	
"Libya, State of"	110515	137323	60487	95541	128751	175246	71113	67978	31188	61807	59960	3873	
"Qatar"	21619	5104	13228	8932	5223	12193	11511	8171	19424	3750	30308	3213	
"Serbia"	7557	5630	9651	8552	6071	6717	8556	15952	8315	4754	3688	2941	
"Albania"	9208	4200	2405	1457	6990	2448	4738	5199	4663	1731	5153	2940	
"Nepal"	165	246	5507	163	2205	4361	6833	6591	4479	3262	1738	2928	
"Côte d'Ivoire"	15516	21187	23184	25967	7433	36579	32957	21061	41998	51319	43914	2924	
"Gabon"	7315	5843	8368	9187	16586	8663	8943	5539	7900	5245	5290	2684	
"Trinidad and Tobago"	21747	22222	26609	20999	15177	13153	11537	11574	10970	7684	1672	2128	
"Sri Lanka"	1186	2470	3653	3372	2673	1912	2889	3817	6629	3653	4422	1863	
"Czech Republic"	14824	23757	52316	42597	15882	52205	67236	88444	57595	12328	9789	1668	
"Honduras"	16678	12086	24086	33621	30712	34440	13690	20775	69405	5148	8958	1561	
"Djibouti"	154	182	10505	38260	956	185	198	427	434	1068	2743	1502	
"Nicaragua"	12911	11606	35517	25979	37875	29431	23440	31357	75386	3405	3211	1363	
"Belarus"	4359	5782	6642	7142	9490	9322	5387	20022	74964	47987	17462	1335	
"Latvia"	24984	41778	135304	132045	192700	251222	144436	78793	62092	1787	1318	1160	
"Guyana"	928	618	1787	2946	1042	2409	2210	2662	3635	3702	2133	1140	
"Iceland"	2331	1532	2292	29411	2084	1464	1523	1981	2049	3652	3317	990	
"Curaçao"	0	0	15577	10196	5418	5463	109137	5071	41662	2711	1806	793	
"Cyprus"	29894	29677	32701	22435	15885	16395	27492	30807	23892	32720	39405	770	
"El Salvador"	13332	13772	14846	30395	31711	15446	10151	12786	32997	3093	3533	675	
"Jamaica"	10245	7800	10228	10249	14231	4197	4401	4743	5400	1314	1284	654	
"Montenegro"	3110	1317	2261	1206	987	1239	1578	1222	1291	1855	2247	599	
"Slovenia"	16920	7591	18084	4110	2260	2996	16767	3131	5170	2022	2133	581	
"Moldova, Republic of"	1172	1579	2533	5092	2846	3083	3316	3604	3153	1102	1280	435	
"Haiti"	32214	31525	31489	26462	18015	10689	3927	6178	16441	3486	1351	425	
"Aruba"	3788	3577	3880	3629	2900	1404	1374	1627	3097	1439	2141	355	
"Bosnia and Herzegovina"	7885	5573	10617	4940	4987	3844	4038	3691	2921	1186	688	314	
"Liberia"	7259	4743	4064	4238	3508	1768	1119	1219	1126	629	399	270	
"Guinea"	1575	855	1804	1990	726	416	200	690	787	525	875	264	
"Equatorial Guinea"	5466	5975	18347	29624	23308	24123	21383	2469	2097	1478	1999	249	
"Mali"	2808	1754	13384	3829	4526	3653	1941	876	13005	4078	446	246	
"Georgia"	6209	12742	18152	15062	32898	10827	4647	2114	4301	493	981	233	
"Antigua and Barbuda"	408	450	599	588	518	549	434	271	243	204	121	224	
"Gambia"	3568	743	1458	361	665	368	137	2738	4202	427	760	195	
"Austria"	12507	14034	15165	14288	14427	14239	19988	12567	12939	5454	1347	161	
"Azerbaijan"	3385	5626	10833	6847	5384	6019	3709	1560	1742	442	329	142	
"Bahamas"	12174	17409	1710	31802	16158	180223	1358	41503	12233	562	507	109	
"Palestine, State of"	2203	1702	1559	3427	3470	2624	2516	2466	1880	2976	936	103	
"Bahrain"	3165	3349	15818	19705	4861	4183	2794	3953	5320	4826	2835	101	
"Malta"	2908	1836	2696	1854	748	7425	7489	1094	157139	278181	92138	101	
"Benin"	2842	2052	5158	13922	3344	8609	5172	2880	2283	825	544	86	
"Estonia"	5052	7889	6482	9469	9513	5852	5873	4000	1683	758	608	85	
"Barbados"	2039	2534	3513	2177	1271	1504	855	763	672	278	271	75	
"Maldives"	58	88	206	182	815	180	688	574	500	216	276	52	
"Tanzania, United Republic of"	21767	19167	51901	86484	10018	9081	5250	13666	21128	287	274	51	
"Andorra"	174	60	40	22	0	0	0	0	16	0	0	45	
"Saint Lucia"	797	1179	913	120480	653	725	426	720	8547	456	272	26	
"Chad"	1043	1472	1500	951	1015	650	146	135	0	0	0	0	
"Gibraltar"	0	3	230	130	24	247963	9951	150	59	0	0	0	
"Lao People's Democratic Republic"	11	5	12	13	0	2	153	143	232	95	150	0	
"Sint Maarten (Dutch part)"	0	0	0	0	0	0	0	0	0	0	101	0	
"Vanuatu"	104	138	179	133	25	7	0	14	0	0	0	0	
"Marshall Islands"	0	0	0	0	0	0	0	0	55	0	0	0	
"Pitcairn"	0	2	0	0	44	4	0	0	0	0	0	0	
"Guinea-Bissau"	2563	542	493	44	228	368	0	0	0	0	0	0	
"Somalia"	0	0	0	42	167	0	911	579	320	0	0	0	
"South Sudan"	0	0	0	0	587	505	102	30	59	0	0	0	
"Tajikistan"	38	70	444	37	42	359	0	35	0	0	0	0	
"Turkmenistan"	150	0	1957	8725	155	63	59	492	102	0	0	0	
"Tuvalu"	0	0	0	0	0	0	5	0	0	0	0	0	
"Free Zones"	40122	67650	91479	109023	113338	112645	126731	24211	39813	0	0	0	
"United States Minor Outlying Islands"	0	35	346	0	4	0	0	0	29690	0	0	0	
"Afghanistan"	2462	1209	2568	1255	165	1229	165	1646	1743	762	0	0	
"Armenia"	2849	1753	4124	5848	5875	3685	7475	8101	5052	104	48	0	
"Bhutan"	0	0	0	0	14	0	7	0	0	0	0	0	
"Botswana"	69	47	1	208	0	64	198	141	4	0	0	0	
"Belize"	234	369	415	339	844	796	517	321	839	0	95	0	
"Solomon Islands"	0	22	41	73	130	49	73	75	153	0	0	0	
"Brunei Darussalam"	665	484	87	71	3039	5699	11913	6975	7318	0	8170	0	
"Myanmar"	487	442	468	841	2605	5195	14885	7515	4898	1285	807	0	
"Burundi"	0	0	670	0	10	0	17	356	3510	0	0	0	
"Cabo Verde"	1357	2558	8497	5041	3505	2461	4215	2034	5075	6127	5336	0	
"Central African Republic"	72	68	98	0	0	220	527	695	650	0	0	0	
"Comoros"	868	654	246	1665	2118	5443	3582	2096	2285	1830	954	0	
"Dominica"	594	786	414	597	924	194	173	198	167	0	0	0	
"Eritrea"	0	0	0	317	650	615	23	68	0	0	0	0	
"Fiji"	84	267	459	811	720	372	358	353	315	0	47	0	
"Grenada"	501	499	611	421	336	335	355	305	323	110	86	0	
"Kazakhstan"	42097	10212	18505	37959	52565	20035	14056	7561	11657	3421	156	0	
"Kyrgyzstan"	1734	0	1563	240	254	436	303	117	84	0	0	0	
"Lesotho"	0	4	0	0	0	0	0	1516	322	0	0	0	
"Luxembourg"	1582	1432	1652	1499	1871	1352	859	741	326	267	168	0	
"Macao, China"	1	9	0	1	0	19	84	8	0	0	0	0	
"Madagascar"	5221	4181	4322	4525	11816	13959	14025	13635	16421	12848	12960	0	
"Malawi"	2773	1104	847	1287	1089	890	0	5162	2773	0	0	0	
"Mauritania"	1180	1295	16807	37625	5727	4021	738	6070	5664	31252	786	0	
"Mauritius"	63724	45834	71840	70392	55351	53404	43292	49604	46313	21080	25032	0	
"Mongolia"	1041	1803	3240	2440	376	954	1210	720	1949	0	79	0	
"Namibia"	3302	5333	6321	12333	3927	4691	1829	6825	3394	299	447	0	
"Netherlands Antilles"	62403	66033	0	0	0	0	0	0	0	0	0	0	
"Niger"	11695	15436	23478	13359	10565	20302	11311	4860	3106	1674	171	0	
"Papua New Guinea"	229	3	646	110	148	21	16	25	419	0	0	0	
"Rwanda"	40	415	1524	4494	63	183	211	1481	7239	0	0	0	
"Saint Kitts and Nevis"	271	244	286	226	5104	32	3	71	65	0	61	0	
"Saint Vincent and the Grenadines"	455	391	515	402	608	484	101	130	233	0	0	0	
"Sao Tome and Principe"	51	24	0	31	0	0	0	0	0	0	0	0	
"Seychelles"	186	49	105	441	537	266	442	403	142	33	0	0	
"Sierra Leone"	4577	1697	3889	2770	3213	6787	1511	1071	453	547	131	0	
"Slovakia"	1630	1296	3747	2591	1942	3555	4423	23671	29808	139	123	0	
"Zimbabwe"	401	1422	6681	13352	1524	545	348	107	30	0	0	0	
"Sudan"	0	0	0	20976	6914	6438	4861	20127	23152	0	0	0	
"Sudan (before 2012)"	21359	8268	8395	0	0	0	0	0	0	0	0	0	
"Suriname"	6734	8934	11607	10146	9889	7953	5766	3364	4736	985	79	0	
"Eswatini"	1073	909	0	0	0	56	25	40	70	0	0	0	
"Togo"	2677	2579	3184	4511	1697	493	274	220	318	533	313	0	
"Tonga"	34	20	0	0	0	0	0	0	0	0	0	0	
"Burkina Faso"	1162	1458	1994	1327	828	506	1190	932	3169	52	120	0	
"Uzbekistan"	3861	2801	2382	5958	20172	1965	47046	3997	216	0	0	0	
"Samoa"	34	0	0	0	0	0	0	0	0	0	0	0	
"Zambia"	652	328	708	2251	449	237	389	479	288	0	0	0	
